frequency,gain_sch
75857.758,38.436794
77624.712,38.436824
79432.823,38.436854
81283.052,38.436882
83176.377,38.436909
85113.804,38.436934
87096.359,38.436958
89125.094,38.436982
91201.084,38.437004
93325.43,38.437025
95499.259,38.437044
97723.722,38.437063
100000,38.437081
102329.3,38.437098
104712.85,38.437115
107151.93,38.43713
109647.82,38.437145
112201.85,38.437159
114815.36,38.437172
117489.76,38.437184
120226.44,38.437196
123026.88,38.437207
125892.54,38.437218
128824.96,38.437227
131825.67,38.437237
134896.29,38.437245
138038.43,38.437253
141253.75,38.437261
144543.98,38.437268
147910.84,38.437275
151356.12,38.437281
154881.66,38.437287
158489.32,38.437292
162181.01,38.437296
165958.69,38.437301
169824.37,38.437305
173780.08,38.437308
177827.94,38.437311
181970.09,38.437314
186208.71,38.437316
190546.07,38.437318
194984.46,38.437319
199526.23,38.43732
204173.79,38.437321
208929.61,38.437321
213796.21,38.437321
218776.16,38.43732
223872.11,38.437319
229086.77,38.437318
234422.88,38.437316
239883.29,38.437314
245470.89,38.437312
251188.64,38.437309
257039.58,38.437305
263026.8,38.437301
269153.48,38.437297
275422.87,38.437293
281838.29,38.437287
288403.15,38.437282
295120.92,38.437276
301995.17,38.437269
309029.54,38.437262
316227.77,38.437255
323593.66,38.437247
331131.12,38.437238
338844.16,38.437229
346736.85,38.437219
354813.39,38.437209
363078.05,38.437198
371535.23,38.437186
380189.4,38.437174
389045.14,38.437161
398107.17,38.437147
407380.28,38.437133
416869.38,38.437117
426579.52,38.437101
436515.83,38.437084
446683.59,38.437067
457088.19,38.437048
467735.14,38.437028
478630.09,38.437007
489778.82,38.436985
501187.23,38.436963
512861.38,38.436938
524807.46,38.436913
537031.8,38.436887
549540.87,38.436859
562341.33,38.43683
575439.94,38.436799
588843.66,38.436767
602559.59,38.436733
616595,38.436698
630957.34,38.436661
645654.23,38.436622
660693.45,38.436581
676082.98,38.436539
691830.97,38.436494
707945.78,38.436447
724435.96,38.436398
741310.24,38.436347
758577.58,38.436293
776247.12,38.436236
794328.23,38.436177
812830.52,38.436115
831763.77,38.43605
851138.04,38.435982
870963.59,38.435911
891250.94,38.435837
912010.84,38.435759
933254.3,38.435677
954992.59,38.435591
977237.22,38.435501
1000000,38.435407
1023293,38.435309
1047128.5,38.435206
1071519.3,38.435098
1096478.2,38.434985
1122018.5,38.434866
1148153.6,38.434742
1174897.6,38.434613
1202264.4,38.434477
1230268.8,38.434334
1258925.4,38.434185
1288249.6,38.434029
1318256.7,38.433865
1348962.9,38.433694
1380384.3,38.433515
1412537.5,38.433327
1445439.8,38.433131
1479108.4,38.432925
1513561.2,38.432709
1548816.6,38.432484
1584893.2,38.432247
1621810.1,38.432
1659586.9,38.431741
1698243.7,38.431469
1737800.8,38.431185
1778279.4,38.430888
1819700.9,38.430576
1862087.1,38.43025
1905460.7,38.429909
1949844.6,38.429551
1995262.3,38.429177
2041737.9,38.428785
2089296.1,38.428374
2137962.1,38.427945
2187761.6,38.427495
2238721.1,38.427024
2290867.7,38.42653
2344228.8,38.426014
2398832.9,38.425473
2454708.9,38.424907
2511886.4,38.424314
2570395.8,38.423694
2630268,38.423044
2691534.8,38.422364
2754228.7,38.421652
2818382.9,38.420906
2884031.5,38.420125
2951209.2,38.419308
3019951.7,38.418452
3090295.4,38.417556
3162277.7,38.416619
3235936.6,38.415637
3311311.2,38.414609
3388441.6,38.413533
3467368.5,38.412407
3548133.9,38.411227
3630780.5,38.409993
3715352.3,38.408701
3801894,38.407348
3890451.4,38.405932
3981071.7,38.404449
4073802.8,38.402898
4168693.8,38.401274
4265795.2,38.399574
4365158.3,38.397794
4466835.9,38.395932
4570881.9,38.393982
4677351.4,38.391942
4786300.9,38.389806
4897788.2,38.387571
5011872.3,38.385232
5128613.8,38.382784
5248074.6,38.380222
5370318,38.377541
5495408.7,38.374735
5623413.3,38.371799
5754399.4,38.368727
5888436.6,38.365513
6025595.9,38.362149
6165950,38.35863
6309573.4,38.354948
6456542.3,38.351095
6606934.5,38.347065
6760829.8,38.342849
6918309.7,38.338438
7079457.8,38.333825
7244359.6,38.328999
7413102.4,38.323952
7585775.8,38.318673
7762471.2,38.313152
7943282.3,38.307378
8128305.2,38.301341
8317637.7,38.295028
8511380.4,38.288427
8709635.9,38.281526
